"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Nombre_de_Menages_affectes","Nombre_de_personnes_affectees_alerte","Acces_humanitaire.Oui","Acces_humanitaire.Non_logistique","Acces_humanitaire.Non_autre","Acces_humanitaire.Non_securite","Continue_Investigation.Non","Continue_Investigation.Oui","Alerte_en_cours.Oui","Nature_du_choc.Violences","Nature_du_choc.Catastrophe_naturelle","Nature_du_choc.Autre","Population_affectee.Retours","Population_affectee.Communaute_hoste","Population_affectee.Deplaces","Population_affectee.Autre","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","acces","continu","alerte_cours","nature","pop_affect"
"Feature","820870656","Gbabiro","ACF","16228","ALERTES","2015-01-08","2015-02-12","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.849218,17.69758","17.69758","6.849218","2015-01","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Oui","Oui","Oui","Violence","Deplacés"
"Feature","842390040","Bobani 2","DRC","16228","ALERTES","2015-01-09","2015-02-23","0","0",NA,NA,"Non - autre",NA,"Non",NA,"Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.771083,16.592829","16.592829","6.771083","2015-01","2015","Yadé","Ouham Pendé","Paoua","Mom","Non - autre","Non","Oui","Violence","Deplacés"
"Feature","847776525","Kouango","ACTED","16228","ALERTES","2015-02-16","2015-02-23","0","0",NA,"Non - logistique",NA,NA,"Non",NA,"Oui","Violence",NA,"0",NA,NA,NA,"Autre","Point","4.992821,19.973607","19.973607","4.992821","2015-02","2015","Kagas","Ouaka","Kouango","Kouango","Non - logistique","Non","Oui","Violence","Autre"
"Feature","881249679","Besson","ACF","16228","ALERTES","2014-12-20","2015-02-10","85","381",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,"Communautés hote",NA,NA,"Point","6.258945,14.816071","14.816071","6.258945","2014-12","2014","Equateur","Nana-Mambéré","Baboua","Goudrot","Non - securité","Oui","Oui","Violence","Communautés hote"
"Feature","881942888","Bondiba","ACF","16228","ALERTES","2014-12-10","2014-12-10","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","5.535135,14.794725","14.794725","5.535135","2014-12","2014","Equateur","Nana-Mambéré","Baboua","Baboua","Oui","Oui","Oui","Violence","Deplacés"
"Feature","883365798","Ngakobo","ACTED","16228","ALERTES","2015-02-06","2015-02-23","0","1000",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","5.339652,20.730846","20.730846","5.339652","2015-02","2015","Kagas","Ouaka","Bambari","Ngougbia","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","892270109","Agoumar","ACTED","16228","ALERTES","2014-12-22","2014-12-23","610","3050",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","4.993979,23.917023","23.917023","4.993979","2014-12","2014","Haut-Oubangui","Mbomou","Rafai","Rafai","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","914915208","Lihoto","ACTED","16228","ALERTES","2015-02-08","2015-02-23","1600","1800","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","5.312277,20.15837","20.15837","5.312277","2015-02","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Oui","Oui","Oui","Violence","Deplacés"
"Feature","951466354","Bogbatoyo","ACF","16228","ALERTES","2015-02-14","2015-02-23","0","500","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.299334,15.605226","15.605226","6.299334","2015-02","2015","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Oui","Oui","Oui","Violence","Deplacés"
"Feature","996289601","Kabo","SI","16228","ALERTES","2015-02-02","2015-02-23","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,NA,"Autre","Point","7.697565,18.629944","18.629944","7.697565","2015-02","2015","Yadé","Ouham","Kabo","Sido","Oui","Oui","Oui","Violence","Autre"
"Feature","1008409191","Bocaranga","DRC","16228","ALERTES","2015-02-23","2015-02-23","0","0",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.580138,15.359947","15.359947","6.580138","2015-02","2015","Yadé","Ouham Pendé","Koui","Koui","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","1085341919","Ngoulinga","ACTED","16228","ALERTES","2015-02-18","2015-02-18","0","95","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","5.709005,20.069115","20.069115","5.709005","2015-02","2015","Kagas","Ouaka","Grimari","Grimari","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1140931710","Togo","ACTED","16228","ALERTES","2014-12-31","2014-12-31","203","1016","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","5.880615,20.57274","20.57274","5.880615","2014-12","2014","Kagas","Ouaka","Bambari","Pladama-Ouaka","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1181755268","Botto","SI","16228","ALERTES","2015-01-27","2015-03-04","1513","0",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.975222222,19.10066667","19.10066667","6.975222222","2015-01","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Botto","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","1256455824","Bombere-Kota","ACF","16228","ALERTES","2014-01-28","2014-01-28","76","399","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.914322,17.548962","17.548962","6.914322","2014-01","2014","Yadé","Ouham","Bossangoa","Ben Zambé","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1318087270","Mobaye - gp Mangbango","ACTED","16228","ALERTES","2015-01-23","2015-02-25","558","4469","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés","Autre","Point","4.319708,21.176833","21.176833","4.319708","2015-01","2015","Haut-Oubangui","Basse-Kotto","Mobaye","Mobaye","Oui","Oui","Oui","Violence","Deplacés Autre"
"Feature","1327025326","Dere 1","SI","16228","ALERTES","2015-02-28","2015-03-18","0","1846","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.822976,19.218654","19.218654","6.822976","2015-02","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Ndenga","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1339015537","Nao","PU-AMI","16228","ALERTES","2015-02-04","2015-02-04","20","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","4.526812,15.318057","15.318057","4.526812","2015-02","2015","Equateur","Mambéré-Kadéï","Berbérati","Ouakanga","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1404871050","Goussiéma","ACTED","16228","ALERTES","2015-03-19","2015-03-19","520","2600","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,"Communautés hote","Deplacés",NA,"Point","5.39583333333,20.12675","20.12675","5.39583333333","2015-03","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Oui","Oui","Oui","Violence","Communautés hote Deplacés"
"Feature","1408899681","Grevai","SI","16228","ALERTES","2014-12-16","2015-02-18","0","0",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","7.06463333333,19.42712777778","19.42712777778","7.06463333333","2014-12","2014","Kagas","Nana-Gribizi","Kaga-Bandoro","Grivaï-Pamia","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","1417911225","Amada Gaza","PU-AMI","16228","ALERTES","2015-02-04","2015-02-04","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","4.76865833333,15.20911111111","15.20911111111","4.76865833333","2015-02","2015","Equateur","Mambéré-Kadéï","Amada-Gaza","Haute-Boumbé","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1500159090","Gbakara","ACF","16228","ALERTES","2015-01-29","2015-01-29","13","65","Oui",NA,NA,NA,NA,"Oui","Oui",NA,"Castastrophe naturelle","0",NA,"Communautés hote",NA,NA,"Point","6.436505,17.641028","17.641028","6.436505","2015-01","2015","Yadé","Ouham","Bossangoa","Soumbé","Oui","Oui","Oui","Castastrophe naturelle","Communautés hote"
"Feature","1507015003","Ndenga","SI","16228","ALERTES","2015-03-20","2015-03-30","0","4000",NA,NA,NA,"Non - securité",NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.759629,19.26045","19.26045","6.759629","2015-03","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Ndenga","Non - securité","Oui","Oui","Violence","Deplacés"
"Feature","1650863336","Sabewa","ACF","16228","ALERTES","2015-01-15","2015-01-15","100","500","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.66801666666667,14.9826055555556","14.9826055555556","6.66801666666667","2015-01","2015","Equateur","Nana-Mambéré","Bouar","Niem-Yelewa","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1734879610","Mbandjifolo","PU-AMI","16228","ALERTES","2015-03-15","2015-03-15","35","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0","Retours",NA,NA,NA,"Point","4.0758333,15.2555556","15.2555556","4.0758333","2015-03","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Oui","Oui","Oui","Violence","Retours"
"Feature","1749632908","Bofire","ACF","16228","ALERTES","2015-02-10","2015-02-13","243","1215","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.71861,17.766026","17.766026","6.71861","2015-02","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Oui","Oui","Oui","Violence","Deplacés"
"Feature","1965494608","Yongoro Mbolaye","ACF","16228","ALERTES","2015-01-17","2015-01-31","1135","5675","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0","Retours",NA,NA,NA,"Point","6.235382,15.586952","15.586952","6.235382","2015-01","2015","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Oui","Oui","Oui","Violence","Retours"
"Feature","1995219427","Dédé Makbouba","PU-AMI","16228","ALERTES","2014-12-17","2015-03-15","35","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0","Retours",NA,NA,NA,"Point","3.91666666667,15.24281944444","15.24281944444","3.91666666667","2014-12","2014","Equateur","Mambéré-Kadéï","Dédé-Mokouba","Haute-Kadéi","Oui","Oui","Oui","Violence","Retours"
"Feature","2008504080","Bogbatoyo","ACF","16228","ALERTES","2014-11-12","2014-11-12","0","0","Oui",NA,NA,NA,"Non",NA,"Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.299334,15.605226","15.605226","6.299334","2014-11","2014","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Oui","Non","Oui","Violence","Deplacés"
"Feature","2041379947","Bebingui","DRC","16228","ALERTES","2014-04-12","2015-02-12","0","0","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","7.814075,16.526","16.526","7.814075","2014-04","2014","Yadé","Ouham Pendé","Paoua","Mia-Péndé","Oui","Oui","Oui","Violence","Deplacés"
"Feature","2146681476","Mbada","DRC","16228","ALERTES","2015-01-17","2015-01-17","273","1248","Oui",NA,NA,NA,NA,"Oui","Oui","Violence",NA,"0",NA,NA,"Deplacés",NA,"Point","6.865547,18.562368","18.562368","6.865547","2015-01","2015","Yadé","Ouham","Bouca","Lady Gbawi","Oui","Oui","Oui","Violence","Deplacés"
